epoch,train_loss,train_acc,test_loss,test_acc
1,4.570791069793701,0.6727,1.0723122358322144,0.6455696202531646
2,4.3258421546936034,0.7807,0.9704831719398499,0.689873417721519
3,4.202224041748047,0.8192,0.8526768803596496,0.740506329113924
4,4.107850126266479,0.8345,0.853974986076355,0.7151898734177216
5,4.022926205825805,0.8553,0.7929024815559387,0.740506329113924
6,3.9483141815185547,0.8747,0.7996450781822204,0.7721518987341772
7,3.8901500690460207,0.8886,0.7566673636436463,0.7848101265822784
8,3.8453606868743897,0.9063,0.7561071276664734,0.7911392405063291
9,3.8176471797943115,0.9151,0.7452558159828186,0.7848101265822784
10,3.798442361831665,0.922,0.7524871349334716,0.7848101265822784
11,3.873438900756836,0.8649,0.8327843189239502,0.7341772151898734
12,3.8170551151275633,0.8651,0.8331875205039978,0.7341772151898734
13,3.750583913040161,0.86715,0.7142200946807862,0.7911392405063291
14,3.679933349990845,0.87205,0.7518802583217621,0.810126582278481
15,3.608865782546997,0.8817,0.7147802829742431,0.8227848101265823
16,3.542913427734375,0.8897,0.8729514360427857,0.7341772151898734
17,3.4879624191284178,0.8934,0.8017588376998901,0.7911392405063291
18,3.430430303192139,0.9005,0.7304588675498962,0.8037974683544303
19,3.372285651397705,0.90965,0.7801859140396118,0.7721518987341772
20,3.326997156906128,0.9167,0.6890591502189636,0.8164556962025317
21,3.2832526268005373,0.92295,0.718422794342041,0.8164556962025317
22,3.2424998733520507,0.9306,0.7139260411262512,0.810126582278481
23,3.2173818672180174,0.9332,0.7354616045951843,0.8164556962025317
24,3.1829553115844726,0.9403,0.763207483291626,0.7911392405063291
25,3.1585467922210695,0.94555,0.7393557906150818,0.8037974683544303
